"","N.C.1","N.C.2","N.C.3","N.C.4","N.SP3.1","N.SP3.2","N.SP3.3","N.SP3.4","E.C.1","E.C.2","E.C.3","E.C.4","E.SP3.1","E.SP3.2","E.SP3.3","E.SP3.4"
"17242316",3.32970328804617,3.53588415471849,3.27405870522493,2.81149988931865,3.41652170941682,3.47925530054857,3.31905753626066,3.566191473794,3.06326033053163,3.30937850118065,3.13799264168858,3.83466861966573,2.41003915346286,3.90061597991461,3.23564991413476,2.63577325414679
"17260396",5.05114306840886,4.91249070037804,4.49870635432836,4.72465359622159,5.25803855391798,5.13303276646457,4.65774978316438,4.66470693476691,5.12767700156386,5.43338908595042,3.90994552581412,5.14280598524704,5.09918147681107,5.55507227211676,5.20917943540823,5.43363642594196
"17288035",1.67318839144409,2.10778624041409,2.72337755112616,2.700496968092,0.943790290053018,1.48675713418277,1.144150273404,1.30561771348992,1.74562808656635,1.35926854266768,1.46990558131804,2.22034469284378,0.97419503728587,1.4327109949727,1.08438013074298,1.03830785996551
"17269156",3.3649490954846,3.2261026851042,3.08464240179676,3.56448182624719,3.61603657591574,3.13300922454939,3.40778732357304,2.84515679642202,3.29826636273013,2.90006937368202,3.95148040381916,3.69737428023507,3.1914156611063,3.91365478742892,3.09412950144088,3.57592904299634
"17318100",5.3411269937628,6.22805757191151,3.77127951075291,5.09668675328544,5.52641946433074,4.45399145882378,2.29291486755483,2.28063144158757,2.81433453265745,4.55555215991208,4.13386980386449,3.19027553836456,4.48177548277328,3.05097508644531,3.38055173943849,3.26235619775449
"17444778",2.96353044803971,3.40568041066506,3.33814630189121,2.64962039071195,3.6504861922774,3.06807733003511,3.55814836438489,3.44425627900439,3.49375707902202,2.94289893160372,3.06044075661863,3.08999355913982,3.04355129180463,2.39116570413388,3.08260906281536,3.24193360364537
"17333493",1.01776334484962,1.55974344179167,1.38772965581346,1.33104982667447,0.946750663001751,0.511991529165248,0.943366552689018,0.747743636430532,1.58765611131362,1.17602790138736,1.02163618326257,0.967170027244919,0.757606384332564,0.524309777896725,0.883358933653277,0.66851730670544
"17216120",2.2947809487791,1.73505196897091,1.98573742080798,1.97675359388877,2.31909084656616,1.83441011836008,1.86131593971522,2.18730481721608,1.65428129439441,2.16711254783531,2.46099675265736,2.16174081226333,2.40262630113284,1.82215224575465,2.08644320740077,2.41522401391477
"17432770",3.61129294056375,4.35780058117844,5.0382520836046,4.75813994263921,4.15157527653966,4.21443205474567,4.01234992522692,4.65187695525713,4.65552436245942,4.53756297879818,3.2969938500665,4.74962014910386,3.87553098837041,4.20055393536085,4.53282115491252,4.3771334100772
"17499732",0.882041435729193,0.852661709637595,1.2197785103575,1.57744743483009,1.6892731017472,1.49754543395217,1.96839820859655,1.05411844321817,0.81023662479693,0.884358264767516,0.884358264767516,0.743437290333233,1.05951750532879,0.904627941322937,1.33494715185225,0.884358264767516
